author,channel,cid,heart,photo,text,time,votes
Shohib Gharwal,UCdLiWEU-QLKwlq2DNNicBEw,UgwgAOkb-FBKcC8MFMZ4AaABAg,0.0,https://yt3.ggpht.com/ytc/AMLnZu-C2W8xLEeASqpQlz9OTCdVAYVUWTmNChZJHA=s176-c-k-c0x00ffffff-no-rj,When He said  Why did you leave me after he misses so funny😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂,2 weeks ago,2
Slmonetta Pantarotto,UCjOp0FXfIJDfPkoJCuHz0qQ,Ugx8-kjAK-EqYyMhkv94AaABAg,0.0,https://yt3.ggpht.com/ytc/AMLnZu8pfXolCsvOlkiogdK8Zfgt3wqDP1Yj0F2MRkC5MR81Ry8TG6Wef0z1Hg5qoVjZ=s176-c-k-c0x00ffffff-no-rj,dami scored the best goals on the two touch chalange,3 weeks ago,0
Nuri Batman,UCt3pj4c1OjoUzztpjcEiZkg,UgwInqBb-1et8QAshiF4AaABAg,0.0,https://yt3.ggpht.com/246CdPjD4MQwuSCyIw7xncYYxxV_6KZtsMuJ8kzot-ikVjAdlvfp42StA7Nn4Oc9oaslHjTVeQ=s176-c-k-c0x00ffffff-no-rj,imagine they opened that coke bottle,6 months ago,3
SAVVA,UCvOuHiYfF8JtzwhK39hnuGA,Ugyao4dicnlp2CKfc854AaABAg,1.0,https://yt3.ggpht.com/ytc/AMLnZu8J56o9JV73jlBTuvi-R_oLfBd4VAITjI0w36ShVQ=s176-c-k-c0x00ffffff-no-rj,BEST VIDEO EVER 🔥🔥🔥🔥,6 months ago,148
KAMPUNG GUHA,UC2KNDnQx8W5YdRQAezLfoEA,UgwmQBGjCVP7Wfo-ZLV4AaABAg,0.0,https://yt3.ggpht.com/ytc/AMLnZu9B-cOX0dSuqc1crb9nqSxYIirRbx7a9MJNKVLn=s176-c-k-c0x00ffffff-no-rj,Why thumbnail,1 day ago,8
mike berg,UCyWV08mbpIYu4FzgaEi6mHw,UgwH1-xF3QWiiBqOdb14AaABAg,0.0,https://yt3.ggpht.com/ytc/AMLnZu9SrQoNH8I7TOYIw7uUC4hdRtLp4c_gFgETNg=s176-c-k-c0x00ffffff-no-rj,4:27 what a freaking control ..,11 days ago,9
Telen Khaidem,UC4jUTLyt71xH_OwnGVVAkzA,UgyL2572dldYqt4uNY94AaABAg,0.0,https://yt3.ggpht.com/ytc/AMLnZu-FMwMmYi_pz1ilw6w4fLlXCXEO78ipKkCfK3Saa7r3IDfzjk31zFz8SYjkMbvR=s176-c-k-c0x00ffffff-no-rj,My respect to the goalkeeper  who save 16 times 👍👍and that was also very hilarious to see the opponents shots 🤣🤣,1 hour ago (edited),0
Agyei Maxwell.,UCKKiLcqiuqPVqOuq-yx-Mtw,UgwNjae36ETVCmORIHt4AaABAg,0.0,https://yt3.ggpht.com/yeoHsR8sxwSAz27nMIe-lxPAlWdb8Y8Ltv1LH3p-VOUly-wM0RczgLMfP9JfwLxjKmVBve_T=s176-c-k-c0x00ffffff-no-rj,Sublime 🤔⚽🔥♥️,2 weeks ago,2
Beau tracey,UC1tHJLsacRGmeAi75fe2t5Q,UgwwAW2nzgwtqYEsJIZ4AaABAg,0.0,https://yt3.ggpht.com/K2oPJpdNS5yrzzYmBbO6YzMjA8fbcrxoGWUzP5Uy8s4bxD3DujcwpzGvSDxVwI93Al18FfmvwmI=s176-c-k-c0x00ffffff-no-rj,2:09 what a save 🥶🥶,4 hours ago,0
BRESNOV IGLESIAS CR7,UCBgGtUeKzgOBlMatQMUusjA,UgwrE7Q2PnLBbh20-YR4AaABAg,1.0,https://yt3.ggpht.com/ytc/AMLnZu_BkM01xZ7GQC_aVFe1YuyxKcyeTR6872RvZtrPEA=s176-c-k-c0x00ffffff-no-rj,Last goal was really funny sliding through grass awesome brilliant video editing 😆😆😂😂🤣🤣👌👌👌,2 weeks ago,7
